Town,Total Acres,Total Sq Miles,Land Acres,Land Sq Miles,Water Acres,Water Sq Miles
Alton,"53,230.51",83.17,"40,906.19",63.92,"12,324.32",19.26
Barnstead,"28,758.63",44.94,"27,483.81",42.94,"1,274.82",1.99
Belmont,"20,427.47",31.92,"19,293.73",30.15,"1,133.73",1.77
Center Harbor,"10,394.43",16.24,"8,532.56",13.33,"1,861.86",2.91
Gilford,"34,243.66",53.51,"24,826.75",38.79,"9,416.90",14.71
Gilmanton,"38,127.14",59.57,"36,891.37",57.64,"1,235.77",1.93
Laconia,"16,712.23",26.11,"12,860.62",20.09,"3,851.61",6.02
Meredith,"34,919.70",54.56,"25,804.33",40.32,"9,115.37",14.24
New Hampton,"24,559.94",38.37,"23,560.79",36.81,999.15,1.56
Sanbornton,"31,774.38",49.65,"30,261.93",47.28,"1,512.46",2.36
Tilton,"7,637.78",11.93,"7,304.20",11.41,333.58,0.52
Albany,"48,475.55",75.74,"48,252.97",75.4,222.58,0.35
Bartlett,"47,882.25",74.82,"47,877.75",74.81,4.5,0.01
Brookfield,"14,880.31",23.25,"14,628.96",22.86,251.36,0.39
Chatham,"36,639.19",57.25,"36,313.62",56.74,325.57,0.51
Conway,"45,881.08",71.69,"44,596.85",69.68,"1,284.23",2.01
Eaton,"16,383.09",25.6,"15,618.56",24.4,764.53,1.19
Effingham,"25,555.90",39.93,"24,877.94",38.87,677.96,1.06
Freedom,"24,261.94",37.91,"22,077.18",34.5,"2,184.77",3.41
Hale's Location,"1,599.81",2.5,"1,599.77",2.5,0.04,0
Harts Location,"12,302.47",19.22,"12,302.44",19.22,0.03,0
Jackson,"42,757.99",66.81,"42,753.70",66.8,4.3,0.01
Madison,"26,157.25",40.87,"24,765.93",38.7,"1,391.32",2.17
Moultonboro,"48,048.28",75.08,"38,425.43",60.04,"9,622.85",15.04
Ossipee,"48,168.46",75.26,"45,375.95",70.9,"2,792.51",4.36
Sandwich,"60,250.83",94.14,"58,394.48",91.24,"1,856.35",2.9
Tamworth,"38,812.56",60.64,"38,289.06",59.83,523.5,0.82
Tuftonboro,"31,638.50",49.44,"25,998.88",40.62,"5,639.63",8.81
Wakefield,"28,717.08",44.87,"25,297.02",39.53,"3,420.06",5.34
Wolfeboro,"37,405.53",58.45,"30,940.30",48.34,"6,465.23",10.1
Alstead,"25,210.86",39.39,"24,943.55",38.97,267.31,0.42
Chesterfield,"30,427.75",47.54,"29,178.00",45.59,"1,249.75",1.95
Dublin,"18,553.04",28.99,"17,852.14",27.89,700.9,1.1
Fitzwilliam,"23,059.76",36.03,"22,158.30",34.62,901.47,1.41
Gilsum,"10,681.86",16.69,"10,668.06",16.67,13.8,0.02
Harrisville,"12,945.48",20.23,"11,976.77",18.71,968.71,1.51
Hinsdale,"14,497.22",22.65,"13,255.46",20.71,"1,241.76",1.94
Jaffrey,"25,708.54",40.17,"24,580.13",38.41,"1,128.41",1.76
Keene,"23,867.42",37.29,"23,714.32",37.05,153.1,0.24
Marlborough,"13,212.05",20.64,"13,061.48",20.41,150.57,0.24
Marlow,"16,921.56",26.44,"16,656.89",26.03,264.66,0.41
Nelson,"14,898.16",23.28,"14,019.14",21.9,879.02,1.37
Richmond,"24,152.27",37.74,"24,027.85",37.54,124.42,0.19
Rindge,"25,468.87",39.8,"23,724.90",37.07,"1,743.96",2.72
Roxbury,"7,844.85",12.26,"7,656.67",11.96,188.18,0.29
Stoddard,"33,949.89",53.05,"32,588.16",50.92,"1,361.73",2.13
Sullivan,"11,984.88",18.73,"11,867.99",18.54,116.89,0.18
Surry,"10,240.91",16,"10,042.26",15.69,198.65,0.31
Swanzey,"29,011.71",45.33,"28,761.37",44.94,250.34,0.39
Troy,"11,274.24",17.62,"11,172.56",17.46,101.68,0.16
Walpole,"23,469.47",36.67,"22,833.91",35.68,635.55,0.99
Westmoreland,"23,577.46",36.84,"22,986.87",35.92,590.59,0.92
Winchester,"35,555.65",55.56,"35,183.98",54.97,371.67,0.58
Atkinson & Gilmanton Grant,"12,351.31",19.3,"12,351.30",19.3,0.01,0
Beans Grant,"6,182.59",9.66,"6,182.68",9.66,0,0
Beans Purchase,"41,787.65",65.29,"41,774.38",65.27,13.26,0.02
