Manchester,"112,673",
Nashua,"89,355",
Concord,"43,627",
Derry,"33,485",
Dover,"32,191",
Rochester,"31,526",
Salem,"29,791",
Merrimack,"26,490",
Londonderry,"26,490",
Hudson,"25,619",
Keene,"22,786",
Bedford,"22,628",
Portsmouth,"21,927",
Goffstown,"18,053",
Laconia,"16,581",
Milford,"16,411",
Durham,"16,293",
Hampton,"15,495",
Exeter,"15,313",
Windham,"14,853",
Hooksett,"14,542",
Pelham,"14,220",
Lebanon,"13,651",
Claremont,"12,932",
Somersworth,"11,968",
Hanover,"11,473",
Amherst,"11,393",
Raymond,"10,529",
Conway,"10,252",
Berlin,"10,122",
Barrington,"9,264",
Newmarket,"9,156",
Weare,"9,091",
Seabrook,"8,842",
Franklin,"8,686",
Litchfield,"8,641",
Hampstead,"8,632",
Hollis,"8,006",
Bow,"7,980",
Plaistow,"7,716",
Stratham,"7,488",
Belmont,"7,333",
Gilford,"7,233",
Swanzey,"7,220",
Pembroke,"7,203",
Atkinson,"7,145",
Epping,"7,036",
Farmington,"6,973",
Plymouth,"6,862",
Peterborough,"6,688",
Sandown,"6,547",
Meredith,"6,456",
Kingston,"6,446",
Wolfeboro,"6,418",
Newport,"6,358",
Rindge,"6,090",
Hillsborough,"6,002",
New Boston,"5,899",
Littleton,"5,870",
Hopkinton,"5,761",
Loudon,"5,634",
Auburn,"5,582",
Rye,"5,470",
Brookline,"5,453",
New Ipswich,"5,393",
Alton,"5,328",
Jaffrey,"5,277",
Chester,"5,270",
Nottingham,"5,136",
Wakefield,"5,110",
Charlestown,"5,021",
Henniker,"5,018",
Northfield,"4,942",
Newton,"4,928",
Epsom,"4,767",
Barnstead,"4,744",
Fremont,"4,710",
Milton,"4,624",
Lee,"4,569",
Haverhill,"4,565",
Danville,"4,556",
Deerfield,"4,541",
Enfield,"4,531",
Brentwood,"4,518",
North Hampton,"4,486",
Allenstown,"4,447",
Ossipee,"4,384",
Northwood,"4,309",
New London,"4,308",
Winchester,"4,226",
Strafford,"4,212",
Moultonborough,"4,184",
Pittsfield,"4,125",
Greenland,"4,120",
Boscawen,"4,026",
Walpole,"4,009",
Candia,"3,959",
Hinsdale,"3,907",
Canaan,"3,899",
Wilton,"3,789",
Gilmanton,"3,773",
Chesterfield,"3,627",
Tilton,"3,543",
Sunapee,"3,487",
Campton,"3,300",
Lancaster,"3,255",
Bristol,"3,096",
Tamworth,"3,077",
Sanbornton,"2,994",
Grantham,"2,945",
Warner,"2,920",
Dunbarton,"2,879",
Bartlett,"2,804",
Chichester ,"2,706",
New Durham,"2,706",
Antrim,"2,690",
Mont Vernon,"2,659",
Gorham,"2,611",
Madison,"2,606",
Rollinsford,"2,586",
Bethlehem,"2,574",
Thornton,"2,536",
Canterbury,"2,464",
Tuftonboro,"2,419",
East Kingston,"2,418",
Hampton Falls,"2,414",
Plainfield,"2,400",
Andover,"2,373",
Fitzwilliam,"2,371",
Newbury,"2,228",
New Hampton,"2,221",
Whitefield,"2,211",
Northumberland,"2,139",
Colebrook,"2,138",
Greenville,"2,110",
Holderness,"2,107",
Kensington,"2,106",
Troy,"2,105",
Marlborough,"2,076",
Ashland,"2,055",
Deering,"1,973",
Webster,"1,954",
Alstead,"1,938",
Sutton,"1,922",
Madbury,"1,883",
Greenfield,"1,847",
Middleton,"1,838",
Lincoln,"1,760",
Newfields,"1,736",
Lyndeborough,"1,732",
Bradford,"1,707",
Westmoreland,"1,688",
Lyme,"1,675",
Hancock,"1,656",
Unity,"1,620",
Alexandria,"1,618",
Cornish,"1,617",
Francestown,"1,583",
Freedom,"1,583",
Lisbon,"1,579",
Rumney,"1,567",
Dublin,"1,543",
Bennington,"1,516",
Effingham,"1,478",
Salisbury,"1,446",
Mason,"1,433",
Temple,"1,422",
Wilmot,"1,392",
Woodstock,"1,365",
Sandwich,"1,358",
Springfield,"1,341",
Grafton,"1,329",
Orford,"1,301",
Stoddard,"1,240",
Milan,"1,235",
Danbury,"1,226",
Lempster,"1,168",
Richmond,"1,124",
Hill,"1,108",
Franconia,"1,105",
Washington,"1,103",
Center Harbor,"1,097",
Bath,"1,093",
Bridgewater,"1,071",
Jefferson,"1,047",
New Castle,979,
Wentworth,966,
Harrisville,951,
Warren,936,
Stewartstown,918,
Acworth,895,
Dalton,885,
Jackson,860,
South Hampton,827,
Pittsburg,820,
Newington,813,
Goshen,810,
Piermont,808,
Gilsum,804,
Monroe,802,
Croydon,765,
Albany,751,
Carroll,747,
Surry,744,
Columbia,735,
Nelson,734,
Marlow,730,
Brookfield,688,
Stratford,684,
Langdon,684,
Sullivan,675,
Hebron,627,
Groton,595,
Sugar Hill,577,
Lyman,526,
Stark,498,
Landaff,439,
Eaton,400,
Benton,371,
Sharon,369,
Chatham,364,
Dorchester,356,
Shelburne,345,
Orange,309,
Randolph,286,
Dummer,284,
Errol,265,
Easton,263,
Clarksville,251,
Waterville Valley,241,
Windsor,231,
Roxbury,220,
Ellsworth,88,
Hart's Location,45,
Millsfield,21,
Dixville,11,
Cambridge,7,
Odell,4,
