Town,County,Trump,Biden,Other,Perc_Trump,Perc_Biden,Winner,wr_Biden,wr_Trump,population,Total Acres,Total Sq Miles,Land Acres,Land Sq Miles,Water Acres,Water Sq Miles,Income,zip_code,pop_density
Acworth,Sullivan,269.0,293.0,7.0,0.4786476868327402,0.5213523131672598,Biden,1.0892193308550187,,895.0,"24,998.94",39.06,"24,916.99",38.93,81.95,0.13,57125.0,03601,22.989982019008476
Albany,Carroll,190.0,250.0,9.0,0.4318181818181818,0.5681818181818182,Biden,1.3157894736842106,,751.0,"48,475.55",75.74,"48,252.97",75.4,222.58,0.35,58750.0,03818,9.960212201591512
Alexandria,Grafton,616.0,440.0,24.0,0.5833333333333334,0.4166666666666667,Trump,,1.4,1618.0,"27,921.21",43.63,"27,867.68",43.54,53.53,0.08,58750.0,03222,37.16123105190629
Allenstown,Merrimack,1233.0,1050.0,42.0,0.5400788436268068,0.45992115637319314,Trump,,1.1742857142857144,4447.0,"13,167.43",20.57,"13,097.95",20.47,69.48,0.11,54769.0,03275,217.2447484123107
Alstead,Cheshire,477.0,684.0,28.0,0.4108527131782946,0.5891472868217055,Biden,1.4339622641509433,,1938.0,"25,210.86",39.39,"24,943.55",38.97,267.31,0.42,57097.0,03602,49.73056197074673
Alton,Belknap,2420.0,1438.0,45.0,0.6272680145152929,0.3727319854847071,Trump,,1.682892906815021,5328.0,"53,230.51",83.17,"40,906.19",63.92,"12,324.32",19.26,79861.0,03809,83.35419274092615
Amherst,Hillsborough,3208.0,4796.0,133.0,0.4007996001999001,0.5992003998001,Biden,1.4950124688279303,,11393.0,"22,025.34",34.41,"21,718.34",33.93,307,0.48,127246.0,03031,335.7795461243737
Andover,Merrimack,726.0,844.0,18.0,0.4624203821656051,0.5375796178343949,Biden,1.162534435261708,,2373.0,"26,271.51",41.05,"25,720.11",40.19,551.4,0.86,67500.0,03216,59.04453844239861
Antrim,Hillsborough,779.0,761.0,35.0,0.5058441558441559,0.4941558441558442,Trump,,1.02365308804205,2690.0,"23,367.58",36.51,"22,833.25",35.68,534.33,0.83,64886.0,03440,75.39237668161435
Ashland,Grafton,562.0,632.0,24.0,0.47068676716917923,0.5293132328308208,Biden,1.1245551601423487,,2055.0,"7,533.76",11.77,"7,244.42",11.32,289.34,0.45,42300.0,03217,181.53710247349824
Atkinson,Rockingham,2795.0,2250.0,59.0,0.554013875123885,0.44598612487611494,Trump,,1.2422222222222221,7145.0,"7,258.46",11.34,"7,154.53",11.18,103.92,0.16,107539.0,03811,639.0876565295171
Auburn,Rockingham,2265.0,1619.0,46.0,0.5831616889804325,0.4168383110195675,Trump,,1.3990117356392835,5582.0,"18,437.94",28.81,"16,308.01",25.48,"2,129.93",3.33,114041.0,03032,219.07378335949764
Barnstead,Belknap,1698.0,1150.0,74.0,0.5962078651685393,0.40379213483146065,Trump,,1.4765217391304348,4744.0,"28,758.63",44.94,"27,483.81",42.94,"1,274.82",1.99,73000.0,03218,110.4797391709362
Barrington,Strafford,2733.0,3142.0,129.0,0.4651914893617021,0.5348085106382978,Biden,1.1496523966337358,,9264.0,"31,117.17",48.62,"29,886.99",46.7,"1,230.18",1.92,84126.0,03825,198.37259100642396
